VARIABLES="H", "C_D" "C_Dp", "C_Dv"
ZONE, t="FUN3D, fixed"
0.03500700200	0.05384940248	0.05038382119	0.00346558129
0.01776672600	0.01407025955	0.01369148051	0.00037877905
0.00895143600	0.00256918462	0.00257372400	0.00000453938
0.00449303200	0.00041199255	0.00041199858	0.00000000604
0.00225088300	0.00007560293	0.00006516893	0.00001043401
0.00112653800	0.00001966061	0.00001186917	0.00000779143
ZONE T="SANS P1, fixed"
0.03500700200	0.04348284661	0.03742335168	0.00716943665
0.01776672600	0.00592017551	0.00522555026	0.00071474651
0.00895143600	0.00070904588	0.00076387979	0.00005478248
0.00449303200	0.00005328464	0.00013755668	0.00008425782
0.00225088300	0.00000366046	0.00003516500	0.00003882454
ZONE T="SANS P1, adapt"
0.03026692053	0.00454230146	0.00145102665	0.00325742316
0.02168284449	0.00097348937	0.00064050215	0.00030542308
0.01556733738	0.00023127867	0.00022792411	0.00000027893
0.01107113584	0.00006204491	0.00009359747	0.00003231102
0.00782186281	0.00001497326	0.00003870150	0.00002385128
0.00554517662	0.00000404245	0.00001872255	0.00001469378
0.003924376	0.00000041636	0.00000901754	0.00000860468
ZONE T="SANS P2, fixed"
0.017766726	0.00100102467	0.00078126643	0.00022235130
0.008951436	0.00004426061	0.00003261337	0.00001474791
0.004493032	0.00000238721	0.00000060403	0.00000299204
0.002250883	0.00000158988	0.00000017777	0.00000176765
0.001126538	0.00000145485	0.00000014251	0.00000131235
ZONE T="SANS P2, adapt"
0.03076413418	0.00160224126	0.00042642679	0.00216739871
0.02128237717	0.00058998427	0.00013339099	0.00044601738
0.01526868819	0.00001798668	0.00001151030	0.00000609238
0.01090946599	0.00000524695	0.00000295434	0.00000224552
0.00780959292	0.00000114040	0.00000063759	0.00000050227
0.00552648155	0.00000137268	0.00000008537	0.00000145813
0.003914496	0.00000082743	0.00000006034	0.00000076712
ZONE T="SANS P2Q3, adapt"
0.030533817373  0.001621870181	0.000444142666	0.001391300753
0.021385299067  0.000467266326	0.000119839969	0.000450570844
0.015243831593  0.000035362315	0.000011999837	0.000022416621
0.010845757335  0.000006002158	0.000003636683	0.000002237290
0.007739483720  0.000001233400	0.000001026001	0.000000204924
0.005490230865  0.000001081519	0.000000447853	0.000000633620
0.003904052444  0.000000348822	0.000000521771	0.000000172946
ZONE T="SANS P3, fixed"
0.0119047619    0.000038151968	0.000018605679	0.000027624201
0.0059829846    0.000002064515	0.000001273384	0.000003338144
0.0029992323    0.000001560251	0.000000221785	0.000001338460
ZONE T="SANS P3, adapt"
0.02988605251	0.00025661935	0.00002984137	0.00193570213
0.02152853777	0.00092597724	0.00020204042	0.00094060740
0.01517557266	0.00009686563	0.00000640725	0.00011581466
0.01084027559	0.00000692466	0.00000121812	0.00000569858
0.00773425044	0.00000049210	0.00000036939	0.00000086273
0.00553753661	0.00000074362	0.00000025669	0.00000100031
0.003920646	0.00000000000	0.00000000000	0.00000000000
ZONE, t="Wolf, fixed"
0.035007  0.063464536    0.06676863     0.003317286 
0.017767  0.01920682     0.01982188     0.000614059
0.008951  0.00237531     0.002606909    0.000230598
0.004493  0.000212999    0.000228044    0.000014045
0.002251  0.000019949    0.000019931    0.000001019
ZONE T="COFFE P1, fixed"
0.035007002   4.5492186411E-02   3.8689483675E-02   6.8027027369E-03
0.017766726   6.8549807567E-03   5.6236321528E-03   1.2313486053E-03
0.008951436   7.3255118241E-04   6.8661969107E-04   4.5931435504E-05
0.004493032   2.4697646912E-05   7.5900221913E-05   5.1202592614E-05
0.002250883   1.2998862216E-05   7.7942227917E-06   2.0793096250E-05
ZONE T = "USM3D-ME, fixed"
3.6084391824351600E-02	4.6879579074000000E-02	5.0156991240800000E-02	3.2774091653000000E-03
1.8042195912175800E-02	1.1443489074000000E-02	1.2082431240800000E-02	6.3893716529999900E-04
9.0210979560879000E-03	1.4925150740000000E-03	1.6436632408000000E-03	1.5114816530000000E-04
4.5105489780439500E-03	1.5399107400000000E-04	1.8854424080000000E-04	3.4553165299999900E-05
2.2552744890219800E-03	-1.6479259999993600E-06	1.4939240800000000E-05	1.6587165299999600E-05
1.1276372445109900E-03	-1.3572925999998800E-05	-1.7377592000000900E-06	1.1835165299999400E-05
ZONE T = "CFD++, fixed"
3.6084391824351600E-02	3.6617940074000000E-02	3.6728200040800000E-02	1.1025996529999900E-04
1.8042195912175800E-02	7.6686140740000000E-03	7.2171180408000000E-03	4.5149603470000100E-04
9.0210979560879000E-03	1.0605269740000000E-03	9.2145574080000000E-04	1.3907123470000000E-04
4.5105489780439500E-03	1.5513627400000000E-04	1.0903054079999900E-04	4.6105734700000800E-05
2.2552744890219800E-03	2.8069373999999700E-05	1.3169240799999500E-05	1.4900134700000300E-05
1.1276372445109900E-03	8.4084740000003900E-06	2.3938407999999900E-06	6.0146347000003900E-06
5.6381862225549400E-04	4.9122740000007900E-06	1.2826408000001000E-06	3.6296347000006800E-06
ZONE, t="Slope 2"
0.035007002     0.043487921 0.043487921 0.043487921
0.002250883     0.00017979  0.00017979  0.00017979
ZONE, t="Slope 4"
0.017766726     0.001000903 0.001000903  0.001000903
0.001126538     1.61788E-08 1.61788E-08  1.61788E-08
ZONE, t="Slope 6"
0.011904762     3.65816E-05 3.65816E-05  3.65816E-05
0.001501562     1.47299E-10 1.47299E-10  1.47299E-10
ZONE T = "OpenFOAM, fixed"
0.0180422	0.058667827	0.056883212	0.001784615
0.0090211	0.010455245	0.009990511	0.000464734
0.00451055	0.001531395	0.001432904	9.84906E-05
0.00225527	0.000222298	0.0002019	2.03981E-05
0.00112763	3.5747E-05	2.02448E-05	1.55022E-05
