# Iter  CD  CDp  CDf 
1 5.386947e-01 7.882635e-02 4.598683e-01
2 6.131842e-01 1.569942e-01 4.561899e-01
3 6.885191e-01 2.342524e-01 4.542668e-01
4 7.625301e-01 3.103458e-01 4.521843e-01
5 8.349657e-01 3.850180e-01 4.499477e-01
6 9.055760e-01 4.580129e-01 4.475630e-01
7 9.741140e-01 5.290769e-01 4.450371e-01
8 1.040338e+00 5.979608e-01 4.423773e-01
9 1.104013e+00 6.644219e-01 4.395913e-01
10 1.164913e+00 7.282252e-01 4.366877e-01
11 1.222821e+00 7.891464e-01 4.336748e-01
12 1.277535e+00 8.469731e-01 4.305617e-01
13 1.328864e+00 9.015070e-01 4.273569e-01
14 1.376634e+00 9.525651e-01 4.240691e-01
15 1.420683e+00 9.999820e-01 4.207007e-01
16 1.460873e+00 1.043607e+00 4.172657e-01
17 1.497092e+00 1.083313e+00 4.137790e-01
18 1.529257e+00 1.119001e+00 4.102557e-01
19 1.557309e+00 1.150597e+00 4.067117e-01
20 1.581222e+00 1.178059e+00 4.031629e-01
21 1.601001e+00 1.201375e+00 3.996255e-01
22 1.616681e+00 1.220565e+00 3.961157e-01
23 1.628330e+00 1.235680e+00 3.926496e-01
24 1.636047e+00 1.246805e+00 3.892420e-01
25 1.639965e+00 1.254057e+00 3.859079e-01
26 1.640245e+00 1.257583e+00 3.826614e-01
27 1.637080e+00 1.257564e+00 3.795160e-01
28 1.630691e+00 1.254207e+00 3.764842e-01
29 1.621323e+00 1.247746e+00 3.735773e-01
30 1.609245e+00 1.238440e+00 3.708054e-01
31 1.594745e+00 1.226569e+00 3.681762e-01
32 1.578126e+00 1.212429e+00 3.656966e-01
33 1.559705e+00 1.196333e+00 3.633719e-01
34 1.539807e+00 1.178601e+00 3.612059e-01
35 1.518760e+00 1.159560e+00 3.592006e-01
36 1.496894e+00 1.139538e+00 3.573560e-01
37 1.474531e+00 1.118861e+00 3.556704e-01
38 1.451985e+00 1.097845e+00 3.541405e-01
39 1.429556e+00 1.076795e+00 3.527611e-01
40 1.407525e+00 1.055999e+00 3.515258e-01
41 1.386153e+00 1.035726e+00 3.504265e-01
42 1.365676e+00 1.016222e+00 3.494539e-01
43 1.346301e+00 9.977034e-01 3.485975e-01
44 1.328207e+00 9.803606e-01 3.478459e-01
45 1.311538e+00 9.643517e-01 3.471868e-01
