# x y Cp Cf
0.000000e+00 0.000000e+00 -1.005643e+00 1.257803e-15
1.954294e-08 2.510811e-05 -1.005615e+00 7.715926e-06
3.133026e-07 1.005312e-04 -1.005537e+00 3.275843e-05
1.591173e-06 2.265567e-04 -1.005261e+00 8.190018e-05
5.050861e-06 4.036442e-04 -1.004555e+00 1.603631e-04
1.239863e-05 6.324091e-04 -1.003092e+00 2.720216e-04
2.587685e-05 9.136052e-04 -1.000439e+00 4.193887e-04
4.829764e-05 1.248107e-03 -9.960642e-01 6.037600e-04
8.308163e-05 1.636889e-03 -9.893356e-01 8.254828e-04
1.343012e-04 2.081011e-03 -9.795336e-01 1.084205e-03
2.067273e-04 2.581593e-03 -9.658714e-01 1.379003e-03
3.058790e-04 3.139793e-03 -9.475259e-01 1.708274e-03
4.380745e-04 3.756789e-03 -9.236827e-01 2.069354e-03
6.104836e-04 4.433748e-03 -8.935948e-01 2.457964e-03
8.311793e-04 5.171804e-03 -8.566515e-01 2.867806e-03
1.109188e-03 5.972028e-03 -8.124532e-01 3.290348e-03
1.454538e-03 6.835397e-03 -7.608818e-01 3.713936e-03
1.878304e-03 7.762763e-03 -7.021565e-01 4.122773e-03
2.392642e-03 8.754819e-03 -6.368613e-01 4.499183e-03
3.010829e-03 9.812064e-03 -5.659347e-01 4.827747e-03
3.747282e-03 1.093476e-02 -4.906171e-01 5.098337e-03
4.617574e-03 1.212291e-02 -4.123654e-01 5.307927e-03
5.638443e-03 1.337618e-02 -3.327420e-01 5.461543e-03
6.827779e-03 1.469390e-02 -2.532994e-01 5.571928e-03
8.204610e-03 1.607500e-02 -1.754730e-01 5.657247e-03
9.789062e-03 1.751796e-02 -1.004970e-01 5.736686e-03
1.160231e-02 1.902079e-02 -2.935328e-02 5.824241e-03
1.366653e-02 2.058096e-02 3.724319e-02 5.922897e-03
1.600477e-02 2.219540e-02 9.882702e-02 6.024520e-03
1.864091e-02 2.386041e-02 1.551467e-01 6.115950e-03
2.159950e-02 2.557168e-02 2.061257e-01 6.186569e-03
2.490563e-02 2.732423e-02 2.518253e-01 6.231616e-03
2.858480e-02 2.911241e-02 2.924107e-01 6.250989e-03
3.266271e-02 3.092986e-02 3.281182e-01 6.246808e-03
3.716513e-02 3.276953e-02 3.592283e-01 6.221885e-03
4.211765e-02 3.462366e-02 3.860438e-01 6.179116e-03
4.754546e-02 3.648382e-02 4.088721e-01 6.121291e-03
5.347317e-02 3.834092e-02 4.280152e-01 6.051008e-03
5.992455e-02 4.018524e-02 4.437618e-01 5.970618e-03
6.692225e-02 4.200650e-02 4.563823e-01 5.882180e-03
7.448763e-02 4.379391e-02 4.661275e-01 5.787449e-03
8.264041e-02 4.553626e-02 4.732276e-01 5.687882e-03
9.139851e-02 4.722199e-02 4.778924e-01 5.584667e-03
1.007778e-01 4.883933e-02 4.803133e-01 5.478761e-03
1.107916e-01 5.037639e-02 4.806645e-01 5.370927e-03
1.214511e-01 5.182127e-02 4.791046e-01 5.261764e-03
1.327642e-01 5.316226e-02 4.757793e-01 5.151747e-03
1.447363e-01 5.438793e-02 4.708225e-01 5.041248e-03
1.573693e-01 5.548731e-02 4.643586e-01 4.930563e-03
1.706620e-01 5.645001e-02 4.565036e-01 4.819932e-03
1.846095e-01 5.726644e-02 4.473671e-01 4.709551e-03
1.992035e-01 5.792791e-02 4.370530e-01 4.599592e-03
2.144322e-01 5.842679e-02 4.256606e-01 4.490205e-03
2.302797e-01 5.875666e-02 4.132859e-01 4.381531e-03
2.467266e-01 5.891244e-02 4.000215e-01 4.273705e-03
2.637500e-01 5.889050e-02 3.859580e-01 4.166864e-03
2.813230e-01 5.868873e-02 3.711834e-01 4.061143e-03
2.994152e-01 5.830665e-02 3.557841e-01 3.956684e-03
3.179930e-01 5.774547e-02 3.398446e-01 3.853633e-03
3.370191e-01 5.700805e-02 3.234476e-01 3.752139e-03
3.564534e-01 5.609897e-02 3.066740e-01 3.652354e-03
3.762527e-01 5.502447e-02 2.896027e-01 3.554433e-03
3.963714e-01 5.379237e-02 2.723105e-01 3.458528e-03
4.167613e-01 5.241204e-02 2.548716e-01 3.364790e-03
4.373721e-01 5.089424e-02 2.373578e-01 3.273363e-03
4.581520e-01 4.925097e-02 2.198380e-01 3.184383e-03
4.790477e-01 4.749539e-02 2.023779e-01 3.097979e-03
5.000048e-01 4.564153e-02 1.850400e-01 3.014266e-03
5.209685e-01 4.370417e-02 1.678830e-01 2.933345e-03
5.418836e-01 4.169860e-02 1.509622e-01 2.855301e-03
5.626951e-01 3.964043e-02 1.343289e-01 2.780193e-03
5.833487e-01 3.754531e-02 1.180306e-01 2.708061e-03
6.037910e-01 3.542878e-02 1.021106e-01 2.638943e-03
6.239702e-01 3.330600e-02 8.660746e-02 2.572916e-03
6.438360e-01 3.119161e-02 7.155401e-02 2.510197e-03
6.633405e-01 2.909949e-02 5.697752e-02 2.451355e-03
6.824382e-01 2.704260e-02 4.289755e-02 2.396557e-03
7.010865e-01 2.503288e-02 2.935283e-02 2.341112e-03
7.192459e-01 2.308109e-02 1.636877e-02 2.288876e-03
7.368803e-01 2.119673e-02 3.945195e-03 2.240375e-03
7.539573e-01 1.938796e-02 -7.905994e-03 2.195053e-03
7.704482e-01 1.766162e-02 -1.917693e-02 2.152645e-03
7.863282e-01 1.602314e-02 -2.986296e-02 2.113028e-03
8.015767e-01 1.447663e-02 -3.996279e-02 2.076112e-03
8.161771e-01 1.302485e-02 -4.947803e-02 2.041815e-03
8.301167e-01 1.166937e-02 -5.841295e-02 2.010059e-03
8.433871e-01 1.041054e-02 -6.677425e-02 1.980766e-03
8.559838e-01 9.247665e-03 -7.457084e-02 1.953859e-03
8.679059e-01 8.179092e-03 -8.181361e-02 1.929264e-03
8.791564e-01 7.202313e-03 -8.851524e-02 1.906905e-03
8.897416e-01 6.314099e-03 -9.469005e-02 1.886706e-03
8.996713e-01 5.510619e-03 -1.003538e-01 1.868593e-03
9.089579e-01 4.787562e-03 -1.055236e-01 1.852490e-03
9.176168e-01 4.140252e-03 -1.102176e-01 1.838322e-03
9.256657e-01 3.563760e-03 -1.144552e-01 1.826013e-03
9.331247e-01 3.053007e-03 -1.182565e-01 1.815485e-03
9.400153e-01 2.602854e-03 -1.216428e-01 1.806660e-03
9.463609e-01 2.208189e-03 -1.246358e-01 1.799454e-03
9.521861e-01 1.863994e-03 -1.272580e-01 1.793785e-03
9.575163e-01 1.565405e-03 -1.295327e-01 1.789564e-03
9.623778e-01 1.307767e-03 -1.314832e-01 1.786702e-03
9.667971e-01 1.086663e-03 -1.331334e-01 1.785105e-03
