# Kestrel COFFE Tracking File
# ------------------------------------------------------------------------------
# Job name = naca0012
# Job description = NACA 0012 in tunnel, grid 20k
# Number of dimensions in simulation = 3
# Body path = WING
# Mesh path:name = NACA0012_Wing_AdaptSlip3_X0020k.avm:NACA
# Output coordinate system = xByRzU
# Moment reference location (in) = 0.000000, 0.000000, 0.000000
# Reference area (in^2) = 1.000000                                        [AREA]
# Moment reference length about x-axis (in) = 1.000000                    [LENX]
# Moment reference length about y-axis (in) = 1.000000                    [LENY]
# Moment reference length about z-axis (in) = 1.000000                    [LENZ]
# Reference Mach = 0.200000                                               [MACH]
# Reference static pressure (lbf/in^2) = 574.445669             [STATICPRESSURE]
# Reference dynamic pressure (lbf/in^2) = 16.084479            [DYNAMICPRESSURE]
# Reference temperature (deg R) = 521.000000                       [TEMPERATURE]
# Reference angle of attack (deg) = 0.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITERID"   "ITER"   "SUBITER"           "TIME"            "CFL"      "DeltaTime"   "HomotopyCoef"          "Omega"   "LinearIters"      "LinearRes"      "NonlinRes"    "HomotopyRes"
 ZONE T="naca0012"
         1        1           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   1.00000000E-02   8.10274817E-01              15   5.10909935E-08   2.36235251E+00   2.36235251E+00
         2        2           1   0.00000000E+00   1.60035811E-01   0.00000000E+00   1.00000000E-02   1.00000000E+00              16   6.00136113E-08   1.32059533E+00   1.31840073E+00
         3        3           1   0.00000000E+00   5.20963257E-01   0.00000000E+00   1.00000000E-02   1.00000000E+00              12   8.53183061E-08   1.29283458E+00   1.29681273E+00
         4        4           1   0.00000000E+00   1.79020902E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              12   4.27144477E-08   1.22981126E+00   1.24231847E+00
         5        5           1   0.00000000E+00   4.38444335E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              13   8.79721806E-08   8.34276452E-01   8.41291027E-01
         6        6           1   0.00000000E+00   1.10699045E+01   0.00000000E+00   1.00000000E-02   1.00000000E+00              19   5.06275290E-08   3.62426263E-01   3.62945423E-01
         7        7           1   0.00000000E+00   3.32016129E+01   0.00000000E+00   1.00000000E-02   1.00000000E+00              30   8.79681155E-08   1.33995916E-01   1.33634061E-01
         8        8           1   0.00000000E+00   8.65860954E+01   0.00000000E+00   1.00000000E-02   1.00000000E+00              51   6.80722052E-08   8.32650675E-02   8.28883992E-02
         9        9           1   0.00000000E+00   1.79030207E+02   0.00000000E+00   1.00000000E-02   1.00000000E+00              67   8.51662492E-08   4.27331190E-02   4.25178463E-02
        10       10           1   0.00000000E+00   3.96902558E+02   0.00000000E+00   1.00000000E-02   1.00000000E+00              86   8.20689637E-08   2.11980226E-02   2.13839248E-02
