# Kestrel COFFE Tracking File
# ------------------------------------------------------------------------------
# Job name = naca0012
# Job description = NACA 0012 in tunnel, grid 0.25
# Number of dimensions in simulation = 3
# Body path = WING
# Mesh path:name = NACA0012_Wing_AdaptSlip3_X0080k.avm:NACA
# Output coordinate system = xByRzU
# Moment reference location (in) = 0.000000, 0.000000, 0.000000
# Reference area (in^2) = 1.000000                                        [AREA]
# Moment reference length about x-axis (in) = 1.000000                    [LENX]
# Moment reference length about y-axis (in) = 1.000000                    [LENY]
# Moment reference length about z-axis (in) = 1.000000                    [LENZ]
# Reference Mach = 0.200000                                               [MACH]
# Reference static pressure (lbf/in^2) = 574.445669             [STATICPRESSURE]
# Reference dynamic pressure (lbf/in^2) = 16.084479            [DYNAMICPRESSURE]
# Reference temperature (deg R) = 521.000000                       [TEMPERATURE]
# Reference angle of attack (deg) = 0.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITERID"   "ITER"   "SUBITER"           "TIME"            "CFL"      "DeltaTime"   "HomotopyCoef"          "Omega"   "LinearIters"      "LinearRes"      "NonlinRes"    "HomotopyRes"
 ZONE T="naca0012"
         1        1           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   1.00000000E-02   8.07093923E-01              14   7.68645309E-08   3.82789403E+00   3.82789403E+00
         2        2           1   0.00000000E+00   3.28601775E-01   0.00000000E+00   1.00000000E-02   1.00000000E+00              28   5.63644175E-08   2.21087123E+00   2.20791458E+00
         3        3           1   0.00000000E+00   1.01201162E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              13   7.24987309E-08   2.09498509E+00   2.10673826E+00
         4        4           1   0.00000000E+00   3.14359699E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              13   7.57518994E-08   1.81663202E+00   1.83548910E+00
         5        5           1   0.00000000E+00   7.89399173E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              17   4.22200621E-08   1.01045910E+00   1.01595305E+00
         6        6           1   0.00000000E+00   2.27842614E+01   0.00000000E+00   1.00000000E-02   1.00000000E+00              27   7.92810608E-08   3.58015119E-01   3.57678849E-01
         7        7           1   0.00000000E+00   6.49501448E+01   0.00000000E+00   1.00000000E-02   1.00000000E+00              53   7.84723860E-08   1.21095899E-01   1.20782080E-01
         8        8           1   0.00000000E+00   1.40518681E+02   0.00000000E+00   1.00000000E-02   1.00000000E+00              79   9.42400972E-08   8.60537403E-02   8.61424085E-02
         9        9           1   0.00000000E+00   2.87848288E+02   0.00000000E+00   1.00000000E-02   1.00000000E+00             108   9.78181896E-08   4.43583102E-02   4.45448935E-02
        10       10           1   0.00000000E+00   6.11506738E+02   0.00000000E+00   1.00000000E-02   1.00000000E+00             138   9.25533512E-08   2.20005514E-02   2.21349483E-02
        11       11           1   0.00000000E+00   1.22301348E+03   0.00000000E+00   1.00000000E-02   1.00000000E+00             180   9.05726052E-08   9.67347535E-03   9.83738849E-03
        12       12           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   5.00000000E-03   6.00000000E-01              13   7.96584634E-08   5.68055097E-03   5.66945221E-03
        13       13           1   0.00000000E+00   1.16358097E+00   0.00000000E+00   5.00000000E-03   1.00000000E+00              13   5.72626161E-08   1.36180539E-02   1.36858404E-02
        14       14           1   0.00000000E+00   3.77086209E+00   0.00000000E+00   5.00000000E-03   1.00000000E+00              14   6.85238191E-08   2.32542840E-02   2.33855929E-02
