# Kestrel COFFE Tracking File
# ------------------------------------------------------------------------------
# Job name = naca0012
# Job description = NACA 0012 in tunnel, grid a
# Number of dimensions in simulation = 3
# Body path = WING
# Mesh path:name = NACA0012_Wing_Slip3_a1.avm:NACA
# Output coordinate system = xByRzU
# Moment reference location (in) = 0.000000, 0.000000, 0.000000
# Reference area (in^2) = 1.000000                                        [AREA]
# Moment reference length about x-axis (in) = 1.000000                    [LENX]
# Moment reference length about y-axis (in) = 1.000000                    [LENY]
# Moment reference length about z-axis (in) = 1.000000                    [LENZ]
# Reference Mach = 0.200000                                               [MACH]
# Reference static pressure (lbf/in^2) = 574.445669             [STATICPRESSURE]
# Reference dynamic pressure (lbf/in^2) = 16.084479            [DYNAMICPRESSURE]
# Reference temperature (deg R) = 521.000000                       [TEMPERATURE]
# Reference angle of attack (deg) = 0.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITERID"   "ITER"   "SUBITER"           "TIME"            "CFL"      "DeltaTime"   "HomotopyCoef"          "Omega"   "LinearIters"      "LinearRes"      "NonlinRes"    "HomotopyRes"
 ZONE T="naca0012"
         1        1           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              11   3.06343866E-08   8.08576718E+00   8.08576718E+00
         2        2           1   0.00000000E+00   2.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              11   3.38721416E-08   3.40974295E+00   3.40455533E+00
         3        3           1   0.00000000E+00   4.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              11   4.25283355E-08   2.04434969E+00   2.07937786E+00
         4        4           1   0.00000000E+00   8.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              14   4.59918149E-08   6.75530488E-01   6.88971176E-01
         5        5           1   0.00000000E+00   1.73063821E+01   0.00000000E+00   1.00000000E-02   1.00000000E+00              21   6.43654001E-08   1.92533427E-01   1.86478132E-01
         6        6           1   0.00000000E+00   3.46127643E+01   0.00000000E+00   1.00000000E-02   1.00000000E+00              29   9.22551468E-08   2.01971861E-01   2.03295551E-01
         7        7           1   0.00000000E+00   6.92255286E+01   0.00000000E+00   1.00000000E-02   1.00000000E+00              41   8.21612210E-08   1.71057036E-01   1.72825202E-01
         8        8           1   0.00000000E+00   1.44753105E+02   0.00000000E+00   1.00000000E-02   1.00000000E+00              57   9.20367514E-08   8.33859934E-02   8.34645553E-02
         9        9           1   0.00000000E+00   3.33957515E+02   0.00000000E+00   1.00000000E-02   1.00000000E+00              83   9.34944031E-08   2.85244242E-02   2.79052121E-02
        10       10           1   0.00000000E+00   6.67915029E+02   0.00000000E+00   1.00000000E-02   1.00000000E+00             114   9.18587148E-08   1.28594263E-02   1.29691124E-02
        11       11           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   5.00000000E-03   1.00000000E+00              20   4.00819140E-08   6.82664554E-03   6.70693575E-03
        12       12           1   0.00000000E+00   2.00000000E+00   0.00000000E+00   5.00000000E-03   1.00000000E+00              19   8.06164382E-08   8.68779097E-03   8.59444065E-03
        13       13           1   0.00000000E+00   4.00000000E+00   0.00000000E+00   5.00000000E-03   1.00000000E+00              13   9.61117423E-08   1.26506308E-02   1.26123275E-02
        14       14           1   0.00000000E+00   8.00000000E+00   0.00000000E+00   5.00000000E-03   1.00000000E+00              15   5.14657662E-08   8.97456089E-03   8.89982407E-03
        15       15           1   0.00000000E+00   3.11940054E+01   0.00000000E+00   5.00000000E-03   1.00000000E+00              28   9.59092048E-08   6.93769853E-03   6.85228073E-03
        16       16           1   0.00000000E+00   1.61167786E+02   0.00000000E+00   5.00000000E-03   1.00000000E+00              64   9.29906782E-08   5.80059877E-03   5.71654948E-03
        17       17           1   0.00000000E+00   4.56383430E+02   0.00000000E+00   5.00000000E-03   1.00000000E+00             101   8.73693373E-08   5.17334566E-03   5.08247272E-03
        18       18           1   0.00000000E+00   9.12766861E+02   0.00000000E+00   5.00000000E-03   1.00000000E+00             131   8.95643321E-08   3.41061481E-03   3.34008424E-03
        19       19           1   0.00000000E+00   1.82553372E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             151   9.86284219E-08   2.14043054E-03   2.09238852E-03
        20       20           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             152   9.93056591E-08   1.21190586E-03   1.13218345E-03
        21       21           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             154   8.78062652E-08   7.65210917E-04   6.29940756E-04
        22       22           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             154   9.55384798E-08   5.98411430E-04   4.09024473E-04
        23       23           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             155   9.48362097E-08   5.23349414E-04   2.79072042E-04
        24       24           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             155   9.58232795E-08   4.89536226E-04   1.96262775E-04
        25       25           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             155   9.93532318E-08   4.74003771E-04   1.40362949E-04
        26       26           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             155   9.77809890E-08   4.66945710E-04   1.01419429E-04
        27       27           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             155   9.59356178E-08   4.63851494E-04   7.37223975E-05
        28       28           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             155   9.48405116E-08   4.62610077E-04   5.37837266E-05
        29       29           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             155   9.43117590E-08   4.62214149E-04   3.93318199E-05
        30       30           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             155   9.41228697E-08   4.62183238E-04   2.88095160E-05
        31       31           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   2.50000000E-03   0.00000000E+00              24   9.90084699E-08   4.62292691E-04   2.30085810E-04
        32       32           1   0.00000000E+00   1.00000000E-01   0.00000000E+00   2.50000000E-03   6.00000000E-01              34   5.82715271E-08   4.62292691E-04   2.30085810E-04
        33       33           1   0.00000000E+00   9.90205853E-02   0.00000000E+00   2.50000000E-03   0.00000000E+00              33   8.66444880E-08   7.49650465E-04   6.37250778E-04
        34       34           1   0.00000000E+00   9.90205853E-03   0.00000000E+00   2.50000000E-03   1.00000000E+00              19   7.72676369E-08   7.49650465E-04   6.37250778E-04
        35       35           1   0.00000000E+00   9.08166920E-02   0.00000000E+00   2.50000000E-03   0.00000000E+00              30   8.91546309E-08   8.10825945E-04   7.09044946E-04
        36       36           1   0.00000000E+00   9.08166920E-03   0.00000000E+00   2.50000000E-03   1.00000000E+00              19   7.73991561E-08   8.10825945E-04   7.09044946E-04
        37       37           1   0.00000000E+00   8.97635660E-02   0.00000000E+00   2.50000000E-03   2.00000000E-01              45   6.40740951E-08   8.72577451E-04   7.79719728E-04
        38       38           1   0.00000000E+00   1.61930725E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              19   7.01451341E-08   2.88110338E-03   2.86760782E-03
        39       39           1   0.00000000E+00   4.16823554E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              21   5.29942533E-08   3.38075830E-03   3.37395532E-03
        40       40           1   0.00000000E+00   8.33647108E-02   0.00000000E+00   2.50000000E-03   6.00000000E-01              33   6.31688160E-08   5.38627770E-03   5.39847513E-03
        41       41           1   0.00000000E+00   2.71503358E-02   0.00000000E+00   2.50000000E-03   8.00000000E-01              19   4.23895346E-08   1.69318145E-02   1.70156446E-02
        42       42           1   0.00000000E+00   1.17974546E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              18   5.87562142E-08   2.62214979E-02   2.63582174E-02
        43       43           1   0.00000000E+00   2.35949092E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              27   9.83232559E-08   3.01694628E-02   3.03278051E-02
        44       44           1   0.00000000E+00   4.71898183E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              41   9.02419322E-08   3.88530930E-02   3.90576710E-02
        45       45           1   0.00000000E+00   9.43796366E-02   0.00000000E+00   2.50000000E-03   4.00000000E-01              62   4.53620411E-08   5.59787593E-02   5.62692867E-02
        46       46           1   0.00000000E+00   2.14464120E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              23   5.43900377E-08   7.66229352E-02   7.70078097E-02
        47       47           1   0.00000000E+00   5.15928393E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              17   7.25327368E-08   7.97609477E-02   8.01596560E-02
        48       48           1   0.00000000E+00   1.03185679E-01   0.00000000E+00   2.50000000E-03   1.00000000E+00              18   4.55356869E-08   8.63689652E-02   8.67954134E-02
        49       49           1   0.00000000E+00   2.06371357E-01   0.00000000E+00   2.50000000E-03   1.00000000E+00              21   6.00922365E-08   9.59165783E-02   9.63773760E-02
        50       50           1   0.00000000E+00   4.12742714E-01   0.00000000E+00   2.50000000E-03   7.18887195E-02              16   7.33544395E-08   1.19168645E-01   1.19704676E-01
        51       51           1   0.00000000E+00   4.12742714E-02   0.00000000E+00   2.50000000E-03   1.00000000E+00              15   5.46850113E-08   1.19168645E-01   1.19704676E-01
        52       52           1   0.00000000E+00   1.73256521E-01   0.00000000E+00   2.50000000E-03   1.00000000E+00              14   7.67707737E-08   1.15071324E-01   1.15580597E-01
        53       53           1   0.00000000E+00   3.46513043E-01   0.00000000E+00   2.50000000E-03   1.00000000E+00              17   2.73098388E-08   9.86682369E-02   9.90671992E-02
        54       54           1   0.00000000E+00   6.93026086E-01   0.00000000E+00   2.50000000E-03   1.00000000E+00              11   5.46835490E-08   4.11601356E-01   4.13269984E-01
        55       55           1   0.00000000E+00   1.38605217E+00   0.00000000E+00   2.50000000E-03   7.32866443E-01              11   3.35233763E-08   1.81306570E-01   1.81831095E-01
        56       56           1   0.00000000E+00   6.27278324E-01   0.00000000E+00   2.50000000E-03   1.00000000E+00              15   5.24114431E-08   8.88512542E-02   8.90034542E-02
        57       57           1   0.00000000E+00   1.25455665E+00   0.00000000E+00   2.50000000E-03   1.00000000E+00              12   4.14643770E-08   1.62817973E-01   1.63402643E-01
        58       58           1   0.00000000E+00   2.50911330E+00   0.00000000E+00   2.50000000E-03   1.00000000E+00              11   6.71511344E-08   5.40655927E-02   5.42124861E-02
        59       59           1   0.00000000E+00   5.01822659E+00   0.00000000E+00   2.50000000E-03   1.00000000E+00              12   5.37399791E-08   3.23651505E-02   3.24704673E-02
        60       60           1   0.00000000E+00   1.00364532E+01   0.00000000E+00   2.50000000E-03   1.00000000E+00              15   7.56141250E-08   9.36907391E-03   9.37110159E-03
        61       61           1   0.00000000E+00   2.07510337E+01   0.00000000E+00   2.50000000E-03   1.00000000E+00              22   6.43406705E-08   6.30979634E-03   6.29835522E-03
        62       62           1   0.00000000E+00   5.55527787E+01   0.00000000E+00   2.50000000E-03   1.00000000E+00              39   7.09952132E-08   2.47547559E-03   2.43616271E-03
        63       63           1   0.00000000E+00   2.61704430E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00              82   9.48303567E-08   1.06739447E-03   1.01669489E-03
        64       64           1   0.00000000E+00   6.69827325E+02   0.00000000E+00   2.50000000E-03   1.00000000E+00             123   9.54641637E-08   6.17848814E-04   5.87277524E-04
        65       65           1   0.00000000E+00   1.33965465E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             150   9.03591207E-08   4.52114907E-04   3.67436345E-04
        66       66           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             164   9.35867430E-08   3.55214869E-04   2.10363745E-04
        67       67           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             162   9.82718667E-08   3.03365866E-04   1.02092368E-04
        68       68           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             162   9.68484985E-08   2.89141916E-04   5.69351574E-05
        69       69           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             162   9.10138784E-08   2.84003588E-04   3.57715157E-05
        70       70           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   2.50000000E-03   1.00000000E+00             161   9.20769444E-08   2.81428849E-04   2.37698224E-05
        71       71           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   0.00000000E+00   0.00000000E+00              21   3.81922468E-08   2.79945397E-04   2.79945397E-04
        72       72           1   0.00000000E+00   1.00000000E-01   0.00000000E+00   0.00000000E+00   2.00000000E-01              24   5.25003544E-08   2.79945397E-04   2.79945397E-04
        73       73           1   0.00000000E+00   3.02162410E-02   0.00000000E+00   0.00000000E+00   1.00000000E+00              22   7.39178501E-08   3.95946326E-04   3.95946326E-04
        74       74           1   0.00000000E+00   1.14239670E-01   0.00000000E+00   0.00000000E+00   4.00000000E-01              36   5.07676356E-08   5.56792112E-04   5.56792112E-04
        75       75           1   0.00000000E+00   3.20248812E-02   0.00000000E+00   0.00000000E+00   8.00000000E-01              31   5.94325135E-08   1.92141579E-03   1.92141579E-03
        76       76           1   0.00000000E+00   1.45961831E-02   0.00000000E+00   0.00000000E+00   1.00000000E+00              19   7.94388525E-08   3.49128083E-03   3.49128083E-03
        77       77           1   0.00000000E+00   2.91923663E-02   0.00000000E+00   0.00000000E+00   1.00000000E+00              31   9.60973138E-08   4.24759435E-03   4.24759435E-03
        78       78           1   0.00000000E+00   5.83847325E-02   0.00000000E+00   0.00000000E+00   4.00000000E-01              20   8.67822998E-08   6.86014336E-03   6.86014336E-03
        79       79           1   0.00000000E+00   1.66158410E-02   0.00000000E+00   0.00000000E+00   1.00000000E+00              19   4.21874538E-08   1.18358343E-02   1.18358343E-02
