# Kestrel COFFE Tracking File
# ------------------------------------------------------------------------------
# Job name = naca0012
# Job description = NACA 0012 in tunnel, grid b
# Number of dimensions in simulation = 3
# Body path = WING
# Mesh path:name = NACA0012_Wing_Slip3_b1.avm:NACA
# Output coordinate system = xByRzU
# Moment reference location (in) = 0.000000, 0.000000, 0.000000
# Reference area (in^2) = 1.000000                                        [AREA]
# Moment reference length about x-axis (in) = 1.000000                    [LENX]
# Moment reference length about y-axis (in) = 1.000000                    [LENY]
# Moment reference length about z-axis (in) = 1.000000                    [LENZ]
# Reference Mach = 0.200000                                               [MACH]
# Reference static pressure (lbf/in^2) = 574.445669             [STATICPRESSURE]
# Reference dynamic pressure (lbf/in^2) = 16.084479            [DYNAMICPRESSURE]
# Reference temperature (deg R) = 521.000000                       [TEMPERATURE]
# Reference angle of attack (deg) = 0.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITERID"   "ITER"   "SUBITER"           "TIME"            "CFL"      "DeltaTime"   "HomotopyCoef"          "Omega"   "LinearIters"      "LinearRes"      "NonlinRes"    "HomotopyRes"
 ZONE T="naca0012"
         1        1           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              11   4.51591824E-08   1.15186119E+01   1.15186119E+01
         2        2           1   0.00000000E+00   2.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              11   5.87108901E-08   6.06010835E+00   6.09265887E+00
         3        3           1   0.00000000E+00   4.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              12   3.74491467E-08   4.03499004E+00   4.09196712E+00
         4        4           1   0.00000000E+00   8.53092002E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              16   5.11383330E-08   1.80473649E+00   1.82153054E+00
         5        5           1   0.00000000E+00   2.12546196E+01   0.00000000E+00   1.00000000E-02   1.00000000E+00              26   6.50438994E-08   6.19200321E-01   6.14169535E-01
         6        6           1   0.00000000E+00   4.65072671E+01   0.00000000E+00   1.00000000E-02   1.00000000E+00              42   8.05811429E-08   1.78043181E-01   1.69986938E-01
         7        7           1   0.00000000E+00   9.30145341E+01   0.00000000E+00   1.00000000E-02   1.00000000E+00              60   8.56099706E-08   2.35262437E-01   2.36380517E-01
         8        8           1   0.00000000E+00   1.86029068E+02   0.00000000E+00   1.00000000E-02   1.00000000E+00              83   9.87934877E-08   1.32074842E-01   1.32663707E-01
         9        9           1   0.00000000E+00   4.41302649E+02   0.00000000E+00   1.00000000E-02   1.00000000E+00             128   9.25885197E-08   5.11244442E-02   5.00529119E-02
        10       10           1   0.00000000E+00   8.82605297E+02   0.00000000E+00   1.00000000E-02   1.00000000E+00             182   9.71777156E-08   1.40420099E-02   1.38787202E-02
        11       11           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   5.00000000E-03   8.00000000E-01              20   9.48785632E-08   6.51985771E-03   6.13990963E-03
        12       12           1   0.00000000E+00   6.55984433E-01   0.00000000E+00   5.00000000E-03   2.00000000E-01              25   3.73151022E-08   8.51309463E-03   8.26990290E-03
        13       13           1   0.00000000E+00   1.82758229E-01   0.00000000E+00   5.00000000E-03   1.00000000E+00              27   5.27306037E-08   1.65073112E-02   1.64837929E-02
        14       14           1   0.00000000E+00   7.92262282E-01   0.00000000E+00   5.00000000E-03   1.00000000E+00              19   6.38568627E-08   1.44690312E-02   1.43995542E-02
        15       15           1   0.00000000E+00   1.58452456E+00   0.00000000E+00   5.00000000E-03   1.00000000E+00              13   7.69099561E-08   2.40835886E-02   2.41754437E-02
        16       16           1   0.00000000E+00   3.59415538E+00   0.00000000E+00   5.00000000E-03   1.00000000E+00              14   3.84667016E-08   1.34796456E-02   1.34305983E-02
        17       17           1   0.00000000E+00   9.31605415E+00   0.00000000E+00   5.00000000E-03   1.00000000E+00              17   9.30859264E-08   7.17835738E-03   7.01842308E-03
        18       18           1   0.00000000E+00   7.02444401E+01   0.00000000E+00   5.00000000E-03   1.00000000E+00              52   8.79259076E-08   6.13389117E-03   5.98256709E-03
        19       19           1   0.00000000E+00   2.82942090E+02   0.00000000E+00   5.00000000E-03   1.00000000E+00             113   8.86318632E-08   5.10168134E-03   4.91944836E-03
        20       20           1   0.00000000E+00   6.12189890E+02   0.00000000E+00   5.00000000E-03   1.00000000E+00             157   9.28887083E-08   4.49056304E-03   4.27956198E-03
        21       21           1   0.00000000E+00   1.22437978E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             212   9.82885308E-08   2.87684944E-03   2.71518336E-03
        22       22           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             248   9.80181536E-08   2.03227152E-03   1.94019043E-03
        23       23           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             251   9.72620111E-08   1.36974483E-03   1.28125544E-03
        24       24           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             254   9.66506339E-08   9.02400163E-04   7.92060208E-04
        25       25           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             250   9.82983698E-08   6.83333988E-04   5.57796911E-04
        26       26           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             252   9.77539453E-08   5.53264266E-04   4.13757081E-04
        27       27           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             252   9.68119896E-08   4.70703100E-04   3.15606122E-04
        28       28           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             253   9.43189858E-08   4.17588615E-04   2.45479690E-04
        29       29           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             264   9.62423646E-08   3.83609777E-04   1.94052468E-04
        30       30           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             272   9.69727658E-08   3.62033617E-04   1.55702546E-04
        31       31           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             286   9.75222357E-08   3.48336176E-04   1.26680031E-04
