# Kestrel COFFE Tracking File
# ------------------------------------------------------------------------------
# Job name = naca0012
# Job description = NACA 0012 in tunnel, grid 0.25
# Number of dimensions in simulation = 3
# Body path = WING
# Mesh path:name = NACA0012_Wing_Slip3_c1.avm:NACA
# Output coordinate system = xByRzU
# Moment reference location (in) = 0.000000, 0.000000, 0.000000
# Reference area (in^2) = 1.000000                                        [AREA]
# Moment reference length about x-axis (in) = 1.000000                    [LENX]
# Moment reference length about y-axis (in) = 1.000000                    [LENY]
# Moment reference length about z-axis (in) = 1.000000                    [LENZ]
# Reference Mach = 0.200000                                               [MACH]
# Reference static pressure (lbf/in^2) = 574.445669             [STATICPRESSURE]
# Reference dynamic pressure (lbf/in^2) = 16.084479            [DYNAMICPRESSURE]
# Reference temperature (deg R) = 521.000000                       [TEMPERATURE]
# Reference angle of attack (deg) = 0.000000                     [ANGLEOFATTACK]
# Reference angle of sideslip (deg) = 0.000000                 [ANGLEOFSIDESLIP]
# ------------------------------------------------------------------------------
 VARIABLES =
  "ITERID"   "ITER"   "SUBITER"           "TIME"            "CFL"      "DeltaTime"   "HomotopyCoef"          "Omega"   "LinearIters"      "LinearRes"      "NonlinRes"    "HomotopyRes"
 ZONE T="naca0012"
         1        1           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              11   3.41596726E-08   1.63111265E+01   1.63111265E+01
         2        2           1   0.00000000E+00   2.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              10   6.72878873E-08   9.34157531E+00   9.41062131E+00
         3        3           1   0.00000000E+00   4.00000000E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              11   9.23290166E-08   6.52896019E+00   6.61618690E+00
         4        4           1   0.00000000E+00   8.47144911E+00   0.00000000E+00   1.00000000E-02   1.00000000E+00              15   6.98950405E-08   3.54354794E+00   3.56950427E+00
         5        5           1   0.00000000E+00   2.08949538E+01   0.00000000E+00   1.00000000E-02   1.00000000E+00              25   8.46573638E-08   1.65732588E+00   1.65526161E+00
         6        6           1   0.00000000E+00   4.90152362E+01   0.00000000E+00   1.00000000E-02   1.00000000E+00              45   7.12066664E-08   5.19823597E-01   5.11790451E-01
         7        7           1   0.00000000E+00   9.80304724E+01   0.00000000E+00   1.00000000E-02   1.00000000E+00              70   8.67365029E-08   1.86065422E-01   1.81712154E-01
         8        8           1   0.00000000E+00   1.96060945E+02   0.00000000E+00   1.00000000E-02   1.00000000E+00             101   9.38116305E-08   2.43657469E-01   2.44158316E-01
         9        9           1   0.00000000E+00   3.92121890E+02   0.00000000E+00   1.00000000E-02   1.00000000E+00             141   9.52874443E-08   1.21366929E-01   1.21253051E-01
        10       10           1   0.00000000E+00   7.84243779E+02   0.00000000E+00   1.00000000E-02   1.00000000E+00             199   9.89235777E-08   4.17667522E-02   4.08073985E-02
        11       11           1   0.00000000E+00   1.00000000E+00   0.00000000E+00   5.00000000E-03   1.00000000E+00              13   6.09371664E-08   1.01427937E-02   9.69874378E-03
        12       12           1   0.00000000E+00   1.27998646E+01   0.00000000E+00   5.00000000E-03   1.00000000E+00              20   5.92418673E-08   1.00087372E-02   9.67561591E-03
        13       13           1   0.00000000E+00   1.23109335E+02   0.00000000E+00   5.00000000E-03   1.00000000E+00              80   9.77840972E-08   9.38896769E-03   9.39047732E-03
        14       14           1   0.00000000E+00   8.76589405E+02   0.00000000E+00   5.00000000E-03   1.00000000E+00             228   9.82864494E-08   8.54894634E-03   8.49442731E-03
        15       15           1   0.00000000E+00   1.75317881E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             308   9.72415685E-08   4.81778521E-03   4.50548159E-03
        16       16           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             326   9.28015015E-08   1.95957521E-03   1.65935132E-03
        17       17           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             327   9.90068340E-08   1.39638959E-03   1.19635536E-03
        18       18           1   0.00000000E+00   2.00000000E+03   0.00000000E+00   5.00000000E-03   1.00000000E+00             333   9.88831328E-08   1.10722421E-03   9.25816701E-04
