VARIABLES="Nnode" "CD"  "CDp"  "CDv" "CL" "CM"
ZONE T="Wolf, INRIA adapt"  
20708   6.405705e-02 6.308452e-02 9.725281e-04 3.433144e-01 3.233231e-03  
39406   6.113335e-02 5.797261e-02 3.160740e-03 3.407276e-01 2.388536e-03  
81075   5.810087e-02 5.331894e-02 4.781935e-03 3.547875e-01 1.303349e-03  
153925  5.675035e-02 4.920195e-02 7.548400e-03 3.814980e-01 2.779302e-04  
316534  5.326439e-02 4.421686e-02 9.047530e-03 4.222973e-01 3.449148e-03  
626572  5.085835e-02 4.085109e-02 1.000726e-02 4.822495e-01 7.574753e-03  
1183320 5.140924e-02 4.079246e-02 1.061678e-02 4.953028e-01 8.214456e-03  
2559159 5.154946e-02 4.081366e-02 1.073581e-02 4.958052e-01 8.540891e-03
5089339 5.167967e-02 4.087236e-02 1.080731e-02 4.965973e-01 8.735651e-03
