Title = "COFFE Solutions for NACA0012 Wing-in-Tunnel, 5deg configuration"
#                                                        =====
VARIABLES = "Nnode", "Ncell", "C<sub>L</sub>", "C<sub>D</sub>", "CDp" "CDv" "CM"
ZONE T = "COFFE, MIT_SANS adapted grids, SA-neg-QCR2000-R_Crot_1.0"
18868  98818  2.86475612e-01  3.17123287e-02  1.19087465e-02  1.18755001e-02  1.61688433e-02
36703  197962  2.18546284e-01  2.26425715e-02  1.12682769e-02  1.13742946e-02  1.15374763e-02
74355  404403  2.20447951e-01  2.19716064e-02  1.09447780e-02  1.10268286e-02  1.11142732e-02
145032  792151  2.20807611e-01  2.15780532e-02  1.07418905e-02  1.08361629e-02  1.10265803e-02
287659  1599999  2.20985640e-01  2.13283947e-02  1.06105993e-02  1.07177955e-02  1.09645186e-02
595181  3197420  2.20622824e-01  2.13309188e-02  1.05657473e-02  1.07651715e-02  1.10413279e-02
ZONE T = "COFFE, HeldenMesh grids, SA-neg-QCR2000-R_Crot_1.0"
78511  274851  2.21913988e-01  2.27832626e-02  1.22937243e-02  1.04895383e-02  1.07742875e-02
440973  1646585  2.22280714e-01  2.11556562e-02  1.07633100e-02  1.03923463e-02  1.05572868e-02
3494776  13452701  2.21766233e-01  2.09947962e-02  1.04948256e-02  1.04999707e-02  1.06643758e-02
ZONE T = "COFFE, HeldenMesh grids, SA-neg-QCR2000_Crot_1.0"
3494776  13452701  2.21700367e-01  2.10168878e-02  1.04932317e-02  1.05236561e-02  1.07096353e-02
ZONE T = "COFFE, Pointwise grids, SA-neg-QCR2000-R_Crot_1.0"
1709751  4217833  2.23151587e-01  2.08890296e-02  1.05916457e-02  1.02973840e-02  1.02709655e-02
4652444  11763875  2.22417545e-01  2.09161867e-02  1.05351995e-02  1.03809874e-02  1.04636400e-02
