TITLE     = "Surface mesh and solution"
VARIABLES = "x"
"y"
"z"
"cf_x"
"Cp"
DATASETAUXDATA alpha_deg="  0.0000000E+00"
DATASETAUXDATA beta_deg="  0.0000000E+00"
DATASETAUXDATA bref="  0.7500000"
DATASETAUXDATA cref="   1.000000"
DATASETAUXDATA itranflg="           0"
DATASETAUXDATA ivisc="           2"
DATASETAUXDATA mach="  0.2000000"
DATASETAUXDATA reue_mil="   4.600000"
DATASETAUXDATA sref="  0.7500000"
DATASETAUXDATA tinf_r="   521.0000"
DATASETAUXDATA xmc="  0.0000000E+00"
DATASETAUXDATA ymc="  0.0000000E+00"
DATASETAUXDATA zmc="  0.0000000E+00"
ZONE T="USM3D-ME, HeldenMesh_R, Slice: Y=-0.001"
 STRANDID=0, SOLUTIONTIME=0
 Nodes=1675, Elements=1653, ZONETYPE=FELineSeg
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE )
 -1.438849465E-01 -1.000000000E-03 5.983825983E-02 4.500262765E-03 -3.458746248E-01
 -1.432090091E-01 -1.000000000E-03 5.989027012E-02 4.494446195E-03 -3.452063957E-01
 -1.447828632E-01 -1.000000000E-03 5.976781769E-02 4.510881708E-03 -3.468537633E-01
 -1.423680984E-01 -1.000000000E-03 5.995411557E-02 4.476650686E-03 -3.441819126E-01
 -1.416500075E-01 -1.000000000E-03 6.000759009E-02 4.466993224E-03 -3.429906197E-01
 -1.408914361E-01 -1.000000000E-03 6.006329027E-02 4.452866630E-03 -3.418821101E-01
 -1.401040426E-01 -1.000000000E-03 6.012006195E-02 4.443428972E-03 -3.406359588E-01
 -1.394181477E-01 -1.000000000E-03 6.016874095E-02 4.436740747E-03 -3.397151867E-01
 -1.385614197E-01 -1.000000000E-03 6.022851497E-02 4.435171760E-03 -3.388852058E-01
 -1.379228680E-01 -1.000000000E-03 6.027229536E-02 4.425692617E-03 -3.381512042E-01
 -1.369587372E-01 -1.000000000E-03 6.033726250E-02 4.418841782E-03 -3.370721165E-01
 -1.363781085E-01 -1.000000000E-03 6.037569198E-02 4.408385206E-03 -3.364325103E-01
 -1.353588590E-01 -1.000000000E-03 6.044194018E-02 4.393079811E-03 -3.352620453E-01
 -1.348468671E-01 -1.000000000E-03 6.047462448E-02 4.384166259E-03 -3.346582199E-01
 -1.337470461E-01 -1.000000000E-03 6.054354684E-02 4.371360015E-03 -3.333261254E-01
 -1.333067419E-01 -1.000000000E-03 6.057063231E-02 4.365723093E-03 -3.328106412E-01
 -1.321070305E-01 -1.000000000E-03 6.064301656E-02 4.359079831E-03 -3.314849233E-01
 -1.317380756E-01 -1.000000000E-03 6.066486647E-02 4.352964262E-03 -3.310438634E-01
 -1.304734753E-01 -1.000000000E-03 6.073824098E-02 4.333099557E-03 -3.293822177E-01
 -1.301788144E-01 -1.000000000E-03 6.075502205E-02 4.328075025E-03 -3.290080169E-01
 -1.288271725E-01 -1.000000000E-03 6.083037174E-02 4.323869296E-03 -3.273731542E-01
 -1.286114880E-01 -1.000000000E-03 6.084217052E-02 4.321050177E-03 -3.271350438E-01
 -1.271543714E-01 -1.000000000E-03 6.092010582E-02 4.305579850E-03 -3.258071395E-01
 -1.270384395E-01 -1.000000000E-03 6.092618994E-02 4.303553655E-03 -3.256880544E-01
 -1.254866939E-01 -1.000000000E-03 6.100572634E-02 4.278639449E-03 -3.241018482E-01
 -1.248797668E-01 -1.000000000E-03 6.103553666E-02 4.272651790E-03 -3.234776675E-01
 -1.254530494E-01 -1.000000000E-03 6.100741811E-02 4.278008696E-03 -3.240663470E-01
 -1.238611843E-01 -1.000000000E-03 6.108552729E-02 4.251559572E-03 -3.224560369E-01
 -1.238030730E-01 -1.000000000E-03 6.108830605E-02 4.251268512E-03 -3.224136424E-01
 -1.222950022E-01 -1.000000000E-03 6.115905767E-02 4.200510520E-03 -3.202421826E-01
 -1.220766267E-01 -1.000000000E-03 6.116901878E-02 4.201099309E-03 -3.199492064E-01
 -1.207444264E-01 -1.000000000E-03 6.122867922E-02 4.170400836E-03 -3.182221217E-01
 -1.203348849E-01 -1.000000000E-03 6.124650554E-02 4.175957858E-03 -3.176743369E-01
 -1.192204943E-01 -1.000000000E-03 6.129407038E-02 4.161513530E-03 -3.167455367E-01
