TITLE     = "Surface mesh and solution"
VARIABLES = "x"
"y"
"z"
"cf_x"
"Cp"
DATASETAUXDATA alpha_deg="  0.0000000E+00"
DATASETAUXDATA beta_deg="  0.0000000E+00"
DATASETAUXDATA bref="  0.7500000"
DATASETAUXDATA cref="   1.000000"
DATASETAUXDATA itranflg="           0"
DATASETAUXDATA ivisc="           2"
DATASETAUXDATA mach="  0.2000000"
DATASETAUXDATA reue_mil="   4.600000"
DATASETAUXDATA sref="  0.7500000"
DATASETAUXDATA tinf_r="   521.0000"
DATASETAUXDATA xmc="  0.0000000E+00"
DATASETAUXDATA ymc="  0.0000000E+00"
DATASETAUXDATA zmc="  0.0000000E+00"
ZONE T="USM3D-ME, MITAdapted_X0640k, Slice: Y=-0.001"
 STRANDID=0, SOLUTIONTIME=0
 Nodes=967, Elements=943, ZONETYPE=FELineSeg
 DATAPACKING=POINT
 DT=(DOUBLE DOUBLE DOUBLE DOUBLE DOUBLE )
 -2.466344723E-01 -1.000000000E-03 1.156825297E-02 -8.799048706E-05 9.818656192E-01
 -2.465991000E-01 -1.000000000E-03 1.149930369E-02 -8.229679184E-05 9.824766736E-01
 -2.472200676E-01 -1.000000000E-03 1.268848207E-02 -1.933032491E-04 9.736319901E-01
 -2.458951225E-01 -1.000000000E-03 1.033162647E-02 3.555789644E-05 9.821072690E-01
 -2.407637552E-01 -1.000000000E-03 4.129270215E-03 7.730455459E-04 9.051846061E-01
 -2.457499497E-01 -1.000000000E-03 1.009551631E-02 7.071321515E-05 9.817488532E-01
 -2.435412294E-01 -1.000000000E-03 7.122067493E-03 3.298881948E-04 9.559223032E-01
 -2.449545933E-01 -1.000000000E-03 8.979038421E-03 2.075534714E-04 9.752004115E-01
 -2.428256314E-01 -1.000000000E-03 6.341382572E-03 4.472753414E-04 9.425772135E-01
 -2.413970868E-01 -1.000000000E-03 4.780050355E-03 7.101630887E-04 9.169095645E-01
 4.157326405E-01 -1.000000000E-03 3.599644007E-03 9.582457310E-04 1.635584567E-01
 4.745382172E-01 -1.000000000E-03 -7.410228811E-03 8.947753560E-04 2.077689378E-01
 4.843950341E-01 -1.000000000E-03 -9.303526158E-03 8.421087625E-04 2.147918788E-01
 4.613652336E-01 -1.000000000E-03 -4.894714833E-03 9.728736962E-04 1.978353545E-01
 4.557923854E-01 -1.000000000E-03 -3.842840518E-03 9.970344437E-04 1.932703969E-01
 5.098094538E-01 -1.000000000E-03 -1.425735429E-02 7.591712544E-04 2.332165353E-01
 1.954453108E-01 -1.000000000E-03 3.930545393E-02 1.923933613E-03 -1.634384206E-02
 1.908490827E-01 -1.000000000E-03 3.994122010E-02 1.933598944E-03 -2.032645842E-02
 2.012434971E-01 -1.000000000E-03 3.850907056E-02 1.888389892E-03 -1.115871435E-02
 2.072386520E-01 -1.000000000E-03 3.767166085E-02 1.751687300E-03 -5.557545084E-03
 1.420118893E-01 -1.000000000E-03 4.624330770E-02 2.146665332E-03 -6.282310736E-02
 5.481897758E-01 -1.000000000E-03 -2.192255618E-02 5.814297922E-04 2.593148569E-01
 5.460644679E-01 -1.000000000E-03 -2.149138347E-02 6.070509594E-04 2.577332415E-01
 5.536184118E-01 -1.000000000E-03 -2.303031957E-02 5.889813967E-04 2.632064260E-01
 5.642547536E-01 -1.000000000E-03 -2.519607981E-02 5.614863203E-04 2.714754744E-01
 6.210212770E-01 -1.000000000E-03 -3.707394913E-02 4.146617476E-04 3.154370083E-01
 6.187520162E-01 -1.000000000E-03 -3.659177683E-02 4.225859858E-04 3.133991729E-01
 6.222277001E-01 -1.000000000E-03 -3.733258661E-02 4.066522686E-04 3.163101381E-01
 6.002817184E-01 -1.000000000E-03 -3.267960342E-02 4.788098041E-04 2.969718140E-01
 6.061326759E-01 -1.000000000E-03 -3.391025645E-02 4.337775274E-04 3.021958553E-01
 3.724664744E-01 -1.000000000E-03 1.134680271E-02 1.088056235E-03 1.312777089E-01
 3.773578687E-01 -1.000000000E-03 1.048593419E-02 1.003369877E-03 1.337532801E-01
 3.851640186E-01 -1.000000000E-03 9.100800438E-03 1.071134137E-03 1.405702717E-01
 3.583828873E-01 -1.000000000E-03 1.379937319E-02 9.724676330E-04 1.205786429E-01
 3.630873208E-01 -1.000000000E-03 1.298338423E-02 9.463724483E-04 1.244394442E-01
 3.511669055E-01 -1.000000000E-03 1.504429860E-02 1.100194699E-03 1.148051483E-01
 5.139988650E-01 -1.000000000E-03 -1.508715636E-02 7.514622484E-04 2.359506415E-01
 5.105622106E-01 -1.000000000E-03 -1.440483627E-02 7.535029302E-04 2.338050525E-01
 5.304892149E-01 -1.000000000E-03 -1.835967211E-02 7.449676039E-04 2.463146850E-01
 5.329556723E-01 -1.000000000E-03 -1.885427394E-02 7.262232958E-04 2.482010232E-01
 1.337035834E-01 -1.000000000E-03 4.724137108E-02 2.346995976E-03 -7.192134228E-02
