Title = "USM3D-ME alpha 5-deg solutions for NACA0012 wing-in-Tunnel, Slip3 configuration"
#                                                                    =====
VARIABLES = "Nnode", "Ncell", "CL", "CD", "CDp" "CDv" "CM"
ZONE T = "USM3D-ME, MIT_SANS adapted grids, SA-neg-QCR2000-R_Crot_1.0"
 36703    197962   2.251983E-01   2.186566E-02   1.126591E-02   1.059975E-02   1.069918E-02
 74355    404403   2.234278E-01   2.157741E-02   1.094705E-02   1.063036E-02   1.090485E-02
145032    792151   2.222336E-01   2.134219E-02   1.073096E-02   1.061123E-02   1.095346E-02
287659   1599999   2.217092E-01   2.118224E-02   1.060305E-02   1.057919E-02   1.093716E-02
595181   3197420   2.215887E-01   2.123178E-02   1.058787E-02   1.064391E-02   1.088311E-02
ZONE T = "USM3D-ME, Pointwise grids, SA-neg-QCR2000-R_Crot_1.0"
 1709751     4217833   2.199016E-01   2.118250E-02   1.051369E-02   1.066881E-02   1.114423E-02
 4652444    11763875   2.200405E-01   2.099369E-02   1.044701E-02   1.054668E-02   1.124011E-02
 9759757    25240016   2.201673E-01   2.093013E-02   1.042918E-02   1.050095E-02   1.121451E-02
28746029    76843484   2.202577E-01   2.089643E-02   1.041792E-02   1.047851E-02   1.117809E-02
63433898   173499849   2.204141E-01   2.091254E-02   1.042260E-02   1.048994E-02   1.111327E-02
ZONE T = "USM3D-ME, HeldenMesh grids, SA-neg-QCR2000-R_Crot_1.0"
   78511      274851   2.194020E-01   2.250596E-02   1.167702E-02   1.082894E-02   1.144633E-02
  440973     1646585   2.207353E-01   2.130083E-02   1.069122E-02   1.060961E-02   1.113827E-02
 3494776    13452701   2.206435E-01   2.102808E-02   1.045803E-02   1.057005E-02   1.105994E-02
27326131   107662379   2.207239E-01   2.098079E-02   1.041766E-02   1.056313E-02   1.101287E-02
