# Iterations  CD  CDp  CDf  CL  CLp  CL  Pitch 
801 8.691673e-02 7.726146e-02 9.655269e-03 3.626189e-01 3.628390e-01 -2.201100e-04 -2.926879e-02
802 8.691557e-02 7.726032e-02 9.655249e-03 3.626155e-01 3.628357e-01 -2.201302e-04 -2.926650e-02
803 8.691429e-02 7.725905e-02 9.655238e-03 3.626121e-01 3.628322e-01 -2.201380e-04 -2.926425e-02
804 8.691288e-02 7.725765e-02 9.655226e-03 3.626085e-01 3.628287e-01 -2.201441e-04 -2.926204e-02
805 8.691134e-02 7.725613e-02 9.655214e-03 3.626050e-01 3.628251e-01 -2.201488e-04 -2.925989e-02
806 8.690968e-02 7.725448e-02 9.655201e-03 3.626014e-01 3.628216e-01 -2.201521e-04 -2.925781e-02
807 8.690790e-02 7.725271e-02 9.655187e-03 3.625979e-01 3.628180e-01 -2.201540e-04 -2.925580e-02
808 8.690599e-02 7.725082e-02 9.655172e-03 3.625944e-01 3.628145e-01 -2.201547e-04 -2.925389e-02
809 8.690395e-02 7.724879e-02 9.655157e-03 3.625910e-01 3.628111e-01 -2.201541e-04 -2.925208e-02
810 8.690177e-02 7.724663e-02 9.655142e-03 3.625876e-01 3.628078e-01 -2.201525e-04 -2.925038e-02
811 8.689944e-02 7.724432e-02 9.655125e-03 3.625844e-01 3.628046e-01 -2.201499e-04 -2.924879e-02
812 8.689696e-02 7.724185e-02 9.655109e-03 3.625813e-01 3.628015e-01 -2.201466e-04 -2.924733e-02
813 8.689431e-02 7.723922e-02 9.655092e-03 3.625783e-01 3.627985e-01 -2.201426e-04 -2.924600e-02
814 8.689148e-02 7.723641e-02 9.655074e-03 3.625755e-01 3.627956e-01 -2.201381e-04 -2.924479e-02
815 8.688846e-02 7.723340e-02 9.655056e-03 3.625727e-01 3.627929e-01 -2.201332e-04 -2.924372e-02
816 8.688523e-02 7.723019e-02 9.655038e-03 3.625701e-01 3.627903e-01 -2.201282e-04 -2.924277e-02
817 8.688177e-02 7.722675e-02 9.655020e-03 3.625677e-01 3.627878e-01 -2.201228e-04 -2.924198e-02
818 8.687808e-02 7.722308e-02 9.655001e-03 3.625654e-01 3.627855e-01 -2.201176e-04 -2.924133e-02
819 8.687413e-02 7.721915e-02 9.654982e-03 3.625632e-01 3.627833e-01 -2.201125e-04 -2.924084e-02
820 8.686992e-02 7.721495e-02 9.654963e-03 3.625612e-01 3.627813e-01 -2.201077e-04 -2.924049e-02
821 8.686541e-02 7.721046e-02 9.654944e-03 3.625591e-01 3.627793e-01 -2.201037e-04 -2.924025e-02
822 8.686060e-02 7.720567e-02 9.654925e-03 3.625572e-01 3.627773e-01 -2.201004e-04 -2.924015e-02
823 8.685547e-02 7.720056e-02 9.654906e-03 3.625553e-01 3.627754e-01 -2.200980e-04 -2.924018e-02
824 8.685000e-02 7.719511e-02 9.654887e-03 3.625533e-01 3.627734e-01 -2.200965e-04 -2.924034e-02
825 8.684417e-02 7.718930e-02 9.654867e-03 3.625514e-01 3.627715e-01 -2.200963e-04 -2.924061e-02
826 8.683798e-02 7.718313e-02 9.654848e-03 3.625493e-01 3.627694e-01 -2.200972e-04 -2.924101e-02
827 8.683138e-02 7.717656e-02 9.654829e-03 3.625471e-01 3.627672e-01 -2.200995e-04 -2.924151e-02
828 8.682438e-02 7.716958e-02 9.654809e-03 3.625448e-01 3.627649e-01 -2.201032e-04 -2.924213e-02
829 8.681694e-02 7.716215e-02 9.654790e-03 3.625422e-01 3.627623e-01 -2.201085e-04 -2.924283e-02
830 8.680903e-02 7.715426e-02 9.654770e-03 3.625393e-01 3.627594e-01 -2.201152e-04 -2.924366e-02
831 8.680062e-02 7.714587e-02 9.654749e-03 3.625361e-01 3.627562e-01 -2.201238e-04 -2.924454e-02
832 8.679169e-02 7.713696e-02 9.654729e-03 3.625326e-01 3.627527e-01 -2.201337e-04 -2.924556e-02
833 8.678218e-02 7.712747e-02 9.654707e-03 3.625285e-01 3.627486e-01 -2.201456e-04 -2.924662e-02
834 8.677207e-02 7.711738e-02 9.654686e-03 3.625240e-01 3.627442e-01 -2.201590e-04 -2.924780e-02
835 8.676128e-02 7.710661e-02 9.654663e-03 3.625189e-01 3.627390e-01 -2.201742e-04 -2.924903e-02
836 8.674979e-02 7.709515e-02 9.654639e-03 3.625132e-01 3.627334e-01 -2.201908e-04 -2.925037e-02
837 8.673749e-02 7.708288e-02 9.654614e-03 3.625067e-01 3.627269e-01 -2.202094e-04 -2.925174e-02
838 8.672436e-02 7.706977e-02 9.654588e-03 3.624996e-01 3.627198e-01 -2.202294e-04 -2.925323e-02
839 8.671026e-02 7.705570e-02 9.654560e-03 3.624915e-01 3.627118e-01 -2.202511e-04 -2.925475e-02
