# Iterations  LogResRho  LogResRhoU  LogResRhoV  LogResRhoW  LogResRhoE  LogResTrb
1201 3.015503e-10 7.516451e-10 1.028556e-09 1.502447e-09 1.893298e-08 1.483641e-15
1202 2.657768e-10 7.397469e-10 1.000774e-09 1.472618e-09 1.665543e-08 1.337994e-15
1203 2.490919e-10 7.341190e-10 9.913738e-10 1.457705e-09 1.560523e-08 1.270705e-15
1204 2.336393e-10 7.290826e-10 9.819741e-10 1.442424e-09 1.463550e-08 1.208109e-15
1205 2.199305e-10 7.248229e-10 9.735094e-10 1.426904e-09 1.379456e-08 1.152974e-15
1206 2.086426e-10 7.209744e-10 9.678842e-10 1.411109e-09 1.309051e-08 1.107039e-15
1207 1.996564e-10 7.174211e-10 9.634567e-10 1.395361e-09 1.253371e-08 1.071623e-15
1208 1.933285e-10 7.142619e-10 9.589917e-10 1.380002e-09 1.213789e-08 1.048206e-15
1209 1.900645e-10 7.111450e-10 9.544576e-10 1.364993e-09 1.194042e-08 1.036891e-15
1210 1.896565e-10 7.081763e-10 9.494000e-10 1.349759e-09 1.192656e-08 1.036092e-15
1211 1.917962e-10 7.056659e-10 9.437703e-10 1.334567e-09 1.207293e-08 1.044368e-15
1212 1.957155e-10 7.033495e-10 9.375977e-10 1.319851e-09 1.232792e-08 1.060035e-15
1213 2.009177e-10 7.009820e-10 9.310610e-10 1.304940e-09 1.266393e-08 1.080571e-15
1214 2.066293e-10 6.989272e-10 9.240051e-10 1.290077e-09 1.303364e-08 1.104616e-15
1215 2.127663e-10 6.967615e-10 9.163724e-10 1.274965e-09 1.342885e-08 1.130899e-15
1216 2.188476e-10 6.946933e-10 9.081415e-10 1.260036e-09 1.382328e-08 1.157787e-15
1217 2.247652e-10 6.928795e-10 8.993053e-10 1.244921e-09 1.421282e-08 1.184776e-15
1218 2.304125e-10 6.909946e-10 8.914960e-10 1.229688e-09 1.457456e-08 1.211567e-15
1219 2.356368e-10 6.890923e-10 8.842093e-10 1.214155e-09 1.491403e-08 1.237418e-15
1220 2.404158e-10 6.870660e-10 8.763522e-10 1.199045e-09 1.522661e-08 1.262379e-15
1221 2.447993e-10 6.850796e-10 8.684789e-10 1.183883e-09 1.550960e-08 1.286035e-15
1222 2.487510e-10 6.832642e-10 8.603677e-10 1.169051e-09 1.576348e-08 1.307781e-15
1223 2.521985e-10 6.813633e-10 8.524717e-10 1.154877e-09 1.598909e-08 1.327953e-15
1224 2.554054e-10 6.794729e-10 8.443733e-10 1.141491e-09 1.619230e-08 1.346727e-15
1225 2.586996e-10 6.779366e-10 8.368162e-10 1.128730e-09 1.640049e-08 1.364018e-15
1226 2.621700e-10 6.763515e-10 8.293477e-10 1.116586e-09 1.660770e-08 1.379618e-15
1227 2.657683e-10 6.749860e-10 8.221022e-10 1.104993e-09 1.682929e-08 1.393884e-15
1228 2.691963e-10 6.735065e-10 8.154235e-10 1.094110e-09 1.704421e-08 1.406677e-15
1229 2.725532e-10 6.723107e-10 8.087243e-10 1.084001e-09 1.724921e-08 1.418255e-15
1230 2.757889e-10 6.712010e-10 8.024386e-10 1.074579e-09 1.744641e-08 1.428363e-15
1231 2.788895e-10 6.699139e-10 7.967126e-10 1.065780e-09 1.763634e-08 1.437308e-15
1232 2.814843e-10 6.687862e-10 7.911767e-10 1.057689e-09 1.779503e-08 1.445736e-15
1233 2.837562e-10 6.679272e-10 7.858094e-10 1.050301e-09 1.792903e-08 1.453048e-15
1234 2.856176e-10 6.671334e-10 7.805547e-10 1.043573e-09 1.803779e-08 1.459667e-15
1235 2.871768e-10 6.662631e-10 7.757542e-10 1.037431e-09 1.812938e-08 1.466109e-15
1236 2.883583e-10 6.655989e-10 7.712970e-10 1.031810e-09 1.820538e-08 1.471780e-15
1237 2.894686e-10 6.650377e-10 7.675831e-10 1.026346e-09 1.827185e-08 1.477062e-15
1238 2.905496e-10 6.646824e-10 7.654959e-10 1.022094e-09 1.833220e-08 1.482231e-15
1239 2.912608e-10 6.644824e-10 7.637828e-10 1.018623e-09 1.838208e-08 1.487326e-15
1240 2.918653e-10 6.642561e-10 7.627656e-10 1.015922e-09 1.842095e-08 1.492285e-15
1241 2.923239e-10 6.642622e-10 7.616240e-10 1.013893e-09 1.844582e-08 1.497885e-15
1242 2.928039e-10 6.645091e-10 7.611603e-10 1.012946e-09 1.847337e-08 1.503608e-15
1243 2.934267e-10 6.649039e-10 7.611303e-10 1.012509e-09 1.850426e-08 1.509602e-15
1244 2.940873e-10 6.655697e-10 7.608540e-10 1.011652e-09 1.853364e-08 1.516103e-15
1245 2.946960e-10 6.663439e-10 7.604038e-10 1.011618e-09 1.856557e-08 1.522806e-15
1246 2.954309e-10 6.670049e-10 7.600764e-10 1.011055e-09 1.861040e-08 1.529843e-15
1247 2.961514e-10 6.677382e-10 7.602757e-10 1.010580e-09 1.865444e-08 1.536926e-15
1248 2.969768e-10 6.685268e-10 7.608824e-10 1.010026e-09 1.870231e-08 1.544320e-15
1249 2.979784e-10 6.691938e-10 7.620619e-10 1.009270e-09 1.875904e-08 1.552047e-15
1250 2.989874e-10 6.698963e-10 7.627014e-10 1.008108e-09 1.882632e-08 1.560042e-15
1251 3.000575e-10 6.704972e-10 7.632465e-10 1.006796e-09 1.888850e-08 1.568086e-15
1252 3.011511e-10 6.708622e-10 7.646016e-10 1.005208e-09 1.895753e-08 1.576522e-15
1253 3.024378e-10 6.713424e-10 7.652701e-10 1.003918e-09 1.902828e-08 1.584930e-15
1254 3.038027e-10 6.716530e-10 7.660706e-10 1.002487e-09 1.910962e-08 1.593206e-15
1255 3.051949e-10 6.717576e-10 7.665305e-10 1.000780e-09 1.919348e-08 1.601748e-15
1256 3.068809e-10 6.721453e-10 7.663766e-10 9.991566e-10 1.929064e-08 1.610836e-15
1257 3.088212e-10 6.723820e-10 7.661884e-10 9.970951e-10 1.940410e-08 1.619993e-15
1258 3.111195e-10 6.725410e-10 7.656665e-10 9.949554e-10 1.954397e-08 1.629005e-15
