# Iterations  ResRho  ResRhoU  ResRhoV  ResRhoW  ResRhoE  ResTrb
1201 2.327449e-04 5.041254e-04 7.733908e-04 1.142187e-03 1.458117e-02 7.363890e-09
1202 2.059365e-04 4.882989e-04 7.748225e-04 1.158043e-03 1.288400e-02 6.936729e-09
1203 1.940380e-04 4.811260e-04 7.741702e-04 1.162928e-03 1.213042e-02 6.739177e-09
1204 1.833990e-04 4.744167e-04 7.720950e-04 1.164950e-03 1.145650e-02 6.552642e-09
1205 1.742085e-04 4.681568e-04 7.683064e-04 1.163633e-03 1.087434e-02 6.377117e-09
1206 1.666325e-04 4.623435e-04 7.625932e-04 1.158635e-03 1.039465e-02 6.212679e-09
1207 1.607862e-04 4.569614e-04 7.548226e-04 1.149720e-03 1.002492e-02 6.058906e-09
1208 1.567142e-04 4.519940e-04 7.449154e-04 1.136746e-03 9.768102e-03 5.914980e-09
1209 1.543752e-04 4.474225e-04 7.328785e-04 1.119698e-03 9.621672e-03 5.780192e-09
1210 1.536329e-04 4.432201e-04 7.187869e-04 1.098653e-03 9.576940e-03 5.654079e-09
1211 1.542768e-04 4.393595e-04 7.027722e-04 1.073792e-03 9.620466e-03 5.536298e-09
1212 1.560396e-04 4.358070e-04 6.850206e-04 1.045395e-03 9.735132e-03 5.426621e-09
1213 1.586267e-04 4.325230e-04 6.657726e-04 1.013831e-03 9.902107e-03 5.324881e-09
1214 1.617455e-04 4.294718e-04 6.453267e-04 9.795623e-04 1.010270e-02 5.230498e-09
1215 1.651220e-04 4.266034e-04 6.240408e-04 9.431271e-04 1.031946e-02 5.143050e-09
1216 1.685136e-04 4.238735e-04 6.023000e-04 9.051516e-04 1.053696e-02 5.062397e-09
1217 1.717148e-04 4.212437e-04 5.805187e-04 8.663403e-04 1.074217e-02 4.988250e-09
1218 1.745560e-04 4.186795e-04 5.591416e-04 8.274464e-04 1.092439e-02 4.920147e-09
1219 1.769062e-04 4.161412e-04 5.386234e-04 7.892817e-04 1.107531e-02 4.857715e-09
1220 1.786720e-04 4.136026e-04 5.193974e-04 7.526662e-04 1.118908e-02 4.800597e-09
1221 1.797923e-04 4.110393e-04 5.018426e-04 7.184248e-04 1.126184e-02 4.748508e-09
1222 1.802336e-04 4.084357e-04 4.862761e-04 6.873072e-04 1.129153e-02 4.701153e-09
1223 1.799926e-04 4.057928e-04 4.729058e-04 6.599637e-04 1.127794e-02 4.658222e-09
1224 1.790958e-04 4.031158e-04 4.618134e-04 6.368887e-04 1.122280e-02 4.619218e-09
1225 1.775983e-04 4.004041e-04 4.530173e-04 6.182864e-04 1.112958e-02 4.583846e-09
1226 1.755537e-04 3.976557e-04 4.463583e-04 6.041856e-04 1.100167e-02 4.551951e-09
1227 1.730484e-04 3.948801e-04 4.415956e-04 5.942383e-04 1.084454e-02 4.523234e-09
1228 1.701775e-04 3.921123e-04 4.383821e-04 5.878607e-04 1.066420e-02 4.497406e-09
1229 1.670489e-04 3.893802e-04 4.363267e-04 5.843571e-04 1.046752e-02 4.474222e-09
1230 1.637696e-04 3.867122e-04 4.350208e-04 5.828870e-04 1.026126e-02 4.453511e-09
1231 1.604578e-04 3.841264e-04 4.340819e-04 5.825934e-04 1.005288e-02 4.435120e-09
1232 1.572163e-04 3.816559e-04 4.331490e-04 5.827127e-04 9.848898e-03 4.418902e-09
1233 1.541285e-04 3.793127e-04 4.319439e-04 5.825484e-04 9.654602e-03 4.404727e-09
1234 1.512771e-04 3.771262e-04 4.302417e-04 5.815472e-04 9.475256e-03 4.392488e-09
1235 1.487238e-04 3.750941e-04 4.278908e-04 5.792910e-04 9.314750e-03 4.381998e-09
1236 1.464961e-04 3.732231e-04 4.248062e-04 5.755132e-04 9.174834e-03 4.373092e-09
1237 1.446052e-04 3.715026e-04 4.209764e-04 5.701268e-04 9.056207e-03 4.365563e-09
1238 1.430374e-04 3.699184e-04 4.164564e-04 5.631398e-04 8.957993e-03 4.359244e-09
1239 1.417478e-04 3.684469e-04 4.113472e-04 5.546945e-04 8.877329e-03 4.353952e-09
1240 1.406843e-04 3.670632e-04 4.057878e-04 5.450256e-04 8.810916e-03 4.349563e-09
1241 1.397787e-04 3.657453e-04 3.999415e-04 5.344352e-04 8.754415e-03 4.345904e-09
1242 1.389634e-04 3.644634e-04 3.939840e-04 5.232883e-04 8.703547e-03 4.342906e-09
1243 1.381772e-04 3.631917e-04 3.880775e-04 5.119657e-04 8.654414e-03 4.340513e-09
1244 1.373585e-04 3.619055e-04 3.823600e-04 5.008469e-04 8.603124e-03 4.338635e-09
1245 1.364619e-04 3.605848e-04 3.769410e-04 4.902591e-04 8.546788e-03 4.337151e-09
1246 1.354555e-04 3.592100e-04 3.718754e-04 4.804683e-04 8.483395e-03 4.335978e-09
1247 1.343209e-04 3.577707e-04 3.671921e-04 4.716552e-04 8.411751e-03 4.335028e-09
1248 1.330564e-04 3.562726e-04 3.628910e-04 4.638937e-04 8.331778e-03 4.334234e-09
1249 1.316704e-04 3.547102e-04 3.589258e-04 4.572073e-04 8.244008e-03 4.333510e-09
1250 1.301785e-04 3.530931e-04 3.552264e-04 4.515271e-04 8.149443e-03 4.332806e-09
1251 1.286076e-04 3.514279e-04 3.517110e-04 4.466864e-04 8.049776e-03 4.332069e-09
1252 1.269891e-04 3.497296e-04 3.483025e-04 4.425014e-04 7.947012e-03 4.331229e-09
1253 1.253580e-04 3.480184e-04 3.449192e-04 4.387715e-04 7.843374e-03 4.330223e-09
1254 1.237442e-04 3.463048e-04 3.414978e-04 4.352980e-04 7.740770e-03 4.329023e-09
1255 1.221790e-04 3.446028e-04 3.379947e-04 4.318918e-04 7.641188e-03 4.327596e-09
1256 1.206847e-04 3.429240e-04 3.343929e-04 4.284101e-04 7.546054e-03 4.325918e-09
1257 1.192744e-04 3.412768e-04 3.306982e-04 4.247556e-04 7.456221e-03 4.323987e-09
1258 1.179576e-04 3.396690e-04 3.269363e-04 4.208713e-04 7.372288e-03 4.321811e-09
1259 1.167362e-04 3.381052e-04 3.231442e-04 4.167422e-04 7.294401e-03 4.319401e-09
1260 1.156074e-04 3.365907e-04 3.193715e-04 4.123825e-04 7.222387e-03 4.316770e-09
1261 1.145646e-04 3.351271e-04 3.156696e-04 4.078268e-04 7.155822e-03 4.313948e-09
1262 1.135977e-04 3.337132e-04 3.120845e-04 4.031232e-04 7.094082e-03 4.310958e-09
1263 1.126980e-04 3.323421e-04 3.086502e-04 3.983240e-04 7.036602e-03 4.307819e-09
1264 1.118566e-04 3.310121e-04 3.053924e-04 3.934809e-04 6.982823e-03 4.304572e-09
1265 1.110633e-04 3.297201e-04 3.023193e-04 3.886336e-04 6.932101e-03 4.301262e-09
1266 1.103093e-04 3.284632e-04 2.994283e-04 3.838180e-04 6.883867e-03 4.297957e-09
1267 1.095897e-04 3.272419e-04 2.967065e-04 3.790550e-04 6.837828e-03 4.294719e-09
1268 1.088992e-04 3.260608e-04 2.941294e-04 3.743583e-04 6.793636e-03 4.291607e-09
1269 1.082328e-04 3.249193e-04 2.916730e-04 3.697379e-04 6.750987e-03 4.288692e-09
1270 1.075863e-04 3.238183e-04 2.893158e-04 3.652037e-04 6.709614e-03 4.286037e-09
1271 1.069563e-04 3.227658e-04 2.870360e-04 3.607551e-04 6.669297e-03 4.283718e-09
1272 1.063402e-04 3.217661e-04 2.848218e-04 3.563950e-04 6.629890e-03 4.281804e-09
1273 1.057352e-04 3.208242e-04 2.826645e-04 3.521243e-04 6.591212e-03 4.280370e-09
1274 1.051392e-04 3.199420e-04 2.805621e-04 3.479485e-04 6.553136e-03 4.279478e-09
1275 1.045511e-04 3.191198e-04 2.785165e-04 3.438703e-04 6.515597e-03 4.279207e-09
1276 1.039697e-04 3.183588e-04 2.765286e-04 3.398905e-04 6.478527e-03 4.279621e-09
1277 1.033937e-04 3.176588e-04 2.746040e-04 3.360136e-04 6.441857e-03 4.280766e-09
1278 1.028221e-04 3.170204e-04 2.727472e-04 3.322430e-04 6.405520e-03 4.282664e-09
1279 1.022534e-04 3.164426e-04 2.709599e-04 3.285851e-04 6.369435e-03 4.285329e-09
1280 1.016868e-04 3.159265e-04 2.692395e-04 3.250465e-04 6.333549e-03 4.288778e-09
1281 1.011210e-04 3.154731e-04 2.675830e-04 3.216410e-04 6.297788e-03 4.292998e-09
1282 1.005551e-04 3.150839e-04 2.659847e-04 3.183813e-04 6.262094e-03 4.297964e-09
1283 9.998864e-05 3.147598e-04 2.644348e-04 3.152774e-04 6.226447e-03 4.303627e-09
1284 9.942132e-05 3.145030e-04 2.629271e-04 3.123380e-04 6.190827e-03 4.309914e-09
1285 9.885274e-05 3.143151e-04 2.614546e-04 3.095664e-04 6.155206e-03 4.316757e-09
1286 9.828318e-05 3.141980e-04 2.600130e-04 3.069585e-04 6.119603e-03 4.324055e-09
1287 9.771397e-05 3.141543e-04 2.586011e-04 3.045022e-04 6.084099e-03 4.331723e-09
1288 9.714610e-05 3.141858e-04 2.572220e-04 3.021803e-04 6.048755e-03 4.339724e-09
1289 9.658102e-05 3.142941e-04 2.558767e-04 2.999698e-04 6.013659e-03 4.347999e-09
1290 9.602029e-05 3.144802e-04 2.545673e-04 2.978457e-04 5.978906e-03 4.356524e-09
1291 9.546532e-05 3.147443e-04 2.532953e-04 2.957831e-04 5.944581e-03 4.365242e-09
1292 9.491763e-05 3.150851e-04 2.520600e-04 2.937594e-04 5.910774e-03 4.374141e-09
1293 9.437801e-05 3.155002e-04 2.508613e-04 2.917567e-04 5.877530e-03 4.383272e-09
1294 9.384729e-05 3.159865e-04 2.496987e-04 2.897630e-04 5.844894e-03 4.392709e-09
1295 9.332570e-05 3.165395e-04 2.485710e-04 2.877721e-04 5.812876e-03 4.402508e-09
1296 9.281287e-05 3.171539e-04 2.474752e-04 2.857833e-04 5.781444e-03 4.412756e-09
1297 9.230827e-05 3.178249e-04 2.464053e-04 2.838001e-04 5.750558e-03 4.423511e-09
1298 9.181136e-05 3.185467e-04 2.453559e-04 2.818288e-04 5.720174e-03 4.434875e-09
1299 9.132121e-05 3.193132e-04 2.443245e-04 2.798759e-04 5.690227e-03 4.446972e-09
1300 9.083710e-05 3.201181e-04 2.433069e-04 2.779495e-04 5.660665e-03 4.459924e-09
1301 9.035821e-05 3.209552e-04 2.423008e-04 2.760569e-04 5.631428e-03 4.473801e-09
1302 8.988358e-05 3.218186e-04 2.413044e-04 2.742043e-04 5.602448e-03 4.488701e-09
1303 8.941187e-05 3.227021e-04 2.403154e-04 2.723970e-04 5.573632e-03 4.504604e-09
1304 8.894215e-05 3.235998e-04 2.393324e-04 2.706390e-04 5.544917e-03 4.521512e-09
1305 8.847388e-05 3.245058e-04 2.383544e-04 2.689330e-04 5.516260e-03 4.539419e-09
1306 8.800634e-05 3.254145e-04 2.373822e-04 2.672812e-04 5.487614e-03 4.558279e-09
1307 8.753917e-05 3.263199e-04 2.364178e-04 2.656846e-04 5.458949e-03 4.578050e-09
1308 8.707238e-05 3.272163e-04 2.354624e-04 2.641426e-04 5.430265e-03 4.598653e-09
1309 8.660627e-05 3.280979e-04 2.345136e-04 2.626540e-04 5.401576e-03 4.620015e-09
1310 8.614178e-05 3.289598e-04 2.335714e-04 2.612170e-04 5.372940e-03 4.642047e-09
1311 8.568038e-05 3.297958e-04 2.326368e-04 2.598286e-04 5.344449e-03 4.664670e-09
1312 8.522361e-05 3.306048e-04 2.317106e-04 2.584844e-04 5.316198e-03 4.687811e-09
1313 8.477309e-05 3.313824e-04 2.307960e-04 2.571806e-04 5.288292e-03 4.711414e-09
1314 8.433047e-05 3.321273e-04 2.298951e-04 2.559110e-04 5.260835e-03 4.735407e-09
1315 8.389811e-05 3.328369e-04 2.290110e-04 2.546687e-04 5.233977e-03 4.759799e-09
1316 8.347786e-05 3.335139e-04 2.281487e-04 2.534472e-04 5.207836e-03 4.784525e-09
1317 8.307178e-05 3.341575e-04 2.273140e-04 2.522381e-04 5.182546e-03 4.809622e-09
1318 8.268151e-05 3.347710e-04 2.265129e-04 2.510376e-04 5.158213e-03 4.835141e-09
